Number,Request_type,Sector
SR_Req_0937777,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0937852,DOMESTIC REQUEST,Professional Services
SR_Req_0937936,DOMESTIC REQUEST,Membership and Associations
SR_Req_0938192,INTERNATIONAL REQUEST,Events Management (excl. catering)
SR_Req_0938200,INTERNATIONAL REQUEST,Events Management (excl. catering)
SR_Req_0938241,DOMESTIC REQUEST,Other
SR_Req_0938248,DOMESTIC REQUEST,Professional Services
SR_Req_0938314,INTERNATIONAL REQUEST,Subscriptions
SR_Req_0938501,DOMESTIC REQUEST,Professional Services
SR_Req_0938616,DOMESTIC REQUEST,Consumables
SR_Req_0938716,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0938878,INTERNATIONAL REQUEST,Events Management (excl. catering)
SR_Req_0939303,DOMESTIC REQUEST,"Furniture, fittings & equipment"
SR_Req_0939519,INTERNATIONAL REQUEST,Other
SR_Req_0939647,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0939811,DOMESTIC REQUEST,Promotional Items & Gifts
SR_Req_0939898,DOMESTIC REQUEST,Marketing Services
SR_Req_0939979,DOMESTIC REQUEST,Consultancy Services
SR_Req_0940012,DOMESTIC REQUEST,Consultancy Services
SR_Req_0940741,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0940798,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0940971,DOMESTIC WIL REQUEST,Other
SR_Req_0941016,DOMESTIC WIL REQUEST,Other
SR_Req_0941030,DOMESTIC REQUEST,Subscriptions
SR_Req_0941072,DOMESTIC REQUEST,Other
SR_Req_0941079,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0941239,DOMESTIC REQUEST,Consumables
SR_Req_0941326,DOMESTIC REQUEST,Consultancy Services
SR_Req_0941404,DOMESTIC REQUEST,Consumables
SR_Req_0941412,DOMESTIC REQUEST,Other
SR_Req_0941608,DOMESTIC REQUEST,Other
SR_Req_0941616,DOMESTIC REQUEST,Consultancy Services
SR_Req_0941871,DOMESTIC REQUEST,Professional Services
SR_Req_0942071,DOMESTIC REQUEST,Other
SR_Req_0942242,DOMESTIC REQUEST,Waste Management Services
SR_Req_0942449,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0942481,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0942534,DOMESTIC REQUEST,Catering
SR_Req_0942554,DOMESTIC REQUEST,Other
SR_Req_0942610,INTERNATIONAL REQUEST,Other
SR_Req_0942776,DOMESTIC WIL REQUEST,Other
SR_Req_0942975,DOMESTIC WIL REQUEST,Other
SR_Req_0943153,INTERNATIONAL REQUEST,Professional Services
SR_Req_0943169,INTERNATIONAL REQUEST,Marketing Services
SR_Req_0943219,DOMESTIC REQUEST,Professional Services
SR_Req_0943340,DOMESTIC REQUEST,Promotional Items & Gifts
SR_Req_0943417,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0943540,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0944071,DOMESTIC REQUEST,Other
SR_Req_0944299,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0944413,DOMESTIC WIL REQUEST,Other
SR_Req_0944546,DOMESTIC REQUEST,Subscriptions
SR_Req_0944963,INTERNATIONAL WIL REQUEST,Consultancy Services
SR_Req_0944984,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0945287,INTERNATIONAL WIL REQUEST,Professional Services
SR_Req_0945367,DOMESTIC WIL REQUEST,Other
SR_Req_0945516,DOMESTIC REQUEST,Consultancy Services
SR_Req_0945519,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0945552,INTERNATIONAL RESEARCH REQUEST,Other
SR_Req_0945553,DOMESTIC REQUEST,Professional Services
SR_Req_0945554,INTERNATIONAL REQUEST,Membership and Associations
SR_Req_0945606,DOMESTIC REQUEST,Other
SR_Req_0945607,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0945609,INTERNATIONAL REQUEST,Professional Services
SR_Req_0945684,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0945852,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0945885,DOMESTIC REQUEST,Catering
SR_Req_0945964,DOMESTIC WIL REQUEST,Other
SR_Req_0945970,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0946232,DOMESTIC WIL REQUEST,Other
SR_Req_0946237,DOMESTIC REQUEST,Other
SR_Req_0946275,DOMESTIC REQUEST,Marketing Services
SR_Req_0946343,DOMESTIC REQUEST,Other
SR_Req_0946381,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0946667,DOMESTIC REQUEST,Professional Services
SR_Req_0946750,DOMESTIC REQUEST,Other
SR_Req_0946751,DOMESTIC WIL REQUEST,Other
SR_Req_0947112,DOMESTIC REQUEST,Other
SR_Req_0947177,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0947330,INTERNATIONAL REQUEST,IT Software
SR_Req_0947334,INTERNATIONAL REQUEST,Other
SR_Req_0947340,DOMESTIC REQUEST,Freight
SR_Req_0947420,DOMESTIC REQUEST,Professional Services
SR_Req_0947489,DOMESTIC REQUEST,Professional Services
SR_Req_0947547,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0947596,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0947615,DOMESTIC REQUEST,Other
SR_Req_0947685,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0948024,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0948079,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0948103,DOMESTIC REQUEST,Marketing Services
SR_Req_0948236,DOMESTIC REQUEST,Other
SR_Req_0948272,DOMESTIC WIL REQUEST,Membership and Associations
SR_Req_0948651,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0948919,DOMESTIC REQUEST,Other
SR_Req_0948928,INTERNATIONAL REQUEST,Professional Services
SR_Req_0948947,DOMESTIC WIL REQUEST,Other
SR_Req_0949087,DOMESTIC REQUEST,Financial Services
SR_Req_0949164,INTERNATIONAL REQUEST,IT Software
SR_Req_0949831,INTERNATIONAL REQUEST,IT Software
SR_Req_0950268,DOMESTIC REQUEST,Consultancy Services
SR_Req_0950401,DOMESTIC REQUEST,Consultancy Services
SR_Req_0950610,DOMESTIC REQUEST,Other
